"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"3",1,3,2001,"placebo","Licensed",149,69,40,4,147,15.9,8.6,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1",1,3,2001,"agomelatine","Licensed",133,68,22,3,129,14.5,8.2,18.75,20,20,25,"cc",0.0989983783025526,0.122345533582862,-0.484239823031915,0.237116720342727,-0.174084894728076,0.754389241005516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",1,3,2001,"fluoxetine","Licensed",137,77,19,3,133,13.3,7.6,20,20,20,20,"cc",0.193664297373759,0.116056396382257,-0.660475094830162,0.252231836766104,-0.203716692334447,0.754534726745143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",2,3,2001,"placebo","Licensed",137,63,22,5,137,13.8,8,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",2,3,2001,"agomelatine","Licensed",142,71,23,6,141,13,8,18.75,20,20,25,"cc",0.0836990188766468,0.124963992098324,0.00860563079769802,0.273114047112175,0.146475425020819,0.593569829988475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",2,3,2001,"paroxetine","Licensed",138,74,22,6,137,12.2,8.1,23.6,20,20,20,"cc",0.153657607483557,0.121823160778,-0.00727275932907981,0.276339363870774,0.175048797464875,0.593397859603555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",5,3,2008,"placebo","Licensed",166,54,33,8,163,17.1,7.92,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",5,3,2008,"agomelatine","Licensed",168,74,39,7,158,15,8.04,18.75,20,20,25,"cc",0.30310485559318,0.141617635533534,0.15507789361645,0.209684473927215,-0.145507583671238,0.505846484142392,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",5,3,2008,"agomelatine","Licensed",169,67,39,9,161,15.9,8.25,37.5,40,40,50,"cc",0.197797646260162,0.146637769704777,0.149143158096636,0.20976844327782,0.0998721090898533,0.473465790699028,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",6,3,2008,"placebo","Licensed",173,63,37,11,167,16.6,8.4,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",6,3,2008,"agomelatine","Licensed",170,66,37,8,156,15.9,7.74,18.75,20,20,25,"cc",0.06401317308241,0.139146797528888,0.0174931574475171,0.205891608114727,-0.300960573671017,0.451936268899836,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",6,3,2008,"agomelatine","Licensed",168,80,37,10,161,14.1,7.74,37.5,40,40,50,"cc",0.268219523376869,0.128997240667487,0.0293276150945199,0.205721477441865,-0.0659825647098048,0.42329229042814,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",7,3,2002,"placebo","Licensed",158,91,21,4,158,13.4,8.4,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",7,3,2002,"fluoxetine","Licensed",148,89,17,7,146,12.5,7.4,20,20,20,20,"cc",0.0431596224781414,0.0955986159124878,-0.145926334404355,0.305543297013705,0.624998547198275,0.616255849608209,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
