"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"1","a01",1,1,3,"CL3-20098-022",2001,"2001","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",133,22,3,129,14.5,8.2,68,129,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","41","0.66700000000000004","Others","HAMD17",27.6,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"2","a02",1,2,3,"CL3-20098-022",2001,"2001","fluoxetine",20,20,"Fixed",20,"Licensed","no","Comparator",137,19,3,133,13.3,7.6,77,133,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","42.9","0.66700000000000004","Others","HAMD17",27.5,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"3","a03",1,3,3,"CL3-20098-022",2001,"2001","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",149,40,4,147,15.9,8.6,69,147,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","43","0.66700000000000004","Others","HAMD17",28,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","Yes",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"4","a04",2,1,3,"CL3-20098-023",2001,"2001","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",142,23,6,141,13,8,71,141,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","40.6","0.75","Others","HAMD17",25.7,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"5","a05",2,2,3,"CL3-20098-023",2001,"2001","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",138,22,6,137,12.2,8.1,74,137,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","40.9","0.75","Others","HAMD17",26.1,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"6","a06",2,3,3,"CL3-20098-023",2001,"2001","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",137,22,5,137,13.8,8,63,137,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","41.2","0.75","Others","HAMD17",26,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"11","a11",5,1,3,"Stahl2010 (CAGO178A2302)",2008,"2010","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",168,39,7,158,15,8.04,74,158,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","43.2","0.67900000000000005","LOCF","HAMD17",26.8,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"12","a12",5,2,3,"Stahl2010 (CAGO178A2302)",2008,"2010","agomelatine",50,50,"Fixed",50,"Licensed","Yes","Investigational",169,39,9,161,15.9,8.25,67,161,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","43.8","0.63900000000000001","LOCF","HAMD17",26.8,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"13","a13",5,3,3,"Stahl2010 (CAGO178A2302)",2008,"2010","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",166,33,8,163,17.1,7.92,54,163,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","43","0.64500000000000002","LOCF","HAMD17",26.4,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","20","Unclear",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"14","a14",6,1,3,"Zajecka2010 (CAGO178A2301) (NCT00411099)",2008,"2010","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",170,37,8,156,15.9,7.74,66,156,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","44.2","0.69399999999999995","LOCF","HAMD17",26.7,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
